"","WORD","FREQ","FREQ_1","total_word","prob","ln_prob"
"1","de","217",218,11188,0.0194851626742939,-3.93810199153276
"2","el","181",182,11188,0.0162674293886307,-4.11859036724506
"3","vamosamerica","208",209,11188,0.0186807293528781,-3.98026280235704
"4","la","147",148,11188,0.0132284590632821,-4.32538478055774
"5","america","231",232,11188,0.0207365033964962,-3.87585968265554
"6","a","122",123,11188,0.0109939220593493,-4.51041269894943
"7","en","126",127,11188,0.0113514479799785,-4.47840996786326
"8","clubamerica","209",210,11188,0.0187701108330354,-3.97548952360438
"9","somosazulcrema","90",91,11188,0.00813371469431534,-4.811737547805
"10","que","95",96,11188,0.00858062209510189,-4.75824886285401
"11","y","87",88,11188,0.0078655702538434,-4.84526023984364
"12","del","81",82,11188,0.00732928137289954,-4.9158778070576
"13","al","70",71,11188,0.00634608509116911,-5.05991717728053
"14","para","60",61,11188,0.005452270289596,-5.21172319014854
"15","los","55",56,11188,0.00500536288880944,-5.2972453635867
"16","con","51",52,11188,0.00464783696818019,-5.37135333574042
"17","sub","48",49,11188,0.00437969252770826,-5.43077675621122
"18","por","51",52,11188,0.00464783696818019,-5.37135333574042
"19","guilasdesdelacuna","44",45,11188,0.00402216660707901,-5.51593456455153
"20","es","44",45,11188,0.00402216660707901,-5.51593456455153
"21","no","45",46,11188,0.00411154808723632,-5.49395565783276
"22","siempreguilas","41",42,11188,0.00375402216660708,-5.58492743603848
"23","club","210",211,11188,0.0188594923131927,-3.97073892084578
"24","se","39",40,11188,0.00357525920629246,-5.63371760020791
"25","hoy","38",39,11188,0.00348587772613514,-5.6590354081922
"26","un","38",39,11188,0.00348587772613514,-5.6590354081922
"27","vamos","33",34,11188,0.00303897032534859,-5.79623652970569
"28","mas","34",35,11188,0.0031283518055059,-5.76724899283244
"29","lo","30",31,11188,0.00277082588487665,-5.8886098498367
"30","partido","30",31,11188,0.00277082588487665,-5.8886098498367
"31","las","31",32,11188,0.00286020736503396,-5.85686115152212
"32","nos","26",27,11188,0.00241329996424741,-6.02676018831752
"33","nuestro","25",26,11188,0.0023239184840901,-6.06450051630037
"34","ya","25",26,11188,0.0023239184840901,-6.06450051630037
"35","tuzos","22",23,11188,0.00205577404361816,-6.1871028383927
"36","equipo","20",21,11188,0.00187701108330354,-6.27807461659843
"37","esta","22",23,11188,0.00205577404361816,-6.1871028383927
"38","fb","20",21,11188,0.00187701108330354,-6.27807461659843
"39","todo","21",22,11188,0.00196639256346085,-6.23155460096353
"40","tu","21",22,11188,0.00196639256346085,-6.23155460096353
"41","coapa","208",209,11188,0.0186807293528781,-3.98026280235704
"42","mexico","18",19,11188,0.00169824812298892,-6.37815807515541
"43","mi","18",19,11188,0.00169824812298892,-6.37815807515541
"44","su","23",24,11188,0.00214515552377547,-6.1445432239739
"45","ganar","17",18,11188,0.00160886664283161,-6.43222529642569
"46","americafemenil","16",17,11188,0.00151948516267429,-6.48938371026563
"47","dia","16",17,11188,0.00151948516267429,-6.48938371026563
"48","vs","16",17,11188,0.00151948516267429,-6.48938371026563
"49","como","16",17,11188,0.00151948516267429,-6.48938371026563
"50","estadioazteca","14",15,11188,0.00134072220235967,-6.61454685321964
"51","liga","210",211,11188,0.0188594923131927,-3.97073892084578
"52","bien","13",14,11188,0.00125134072220236,-6.68353972470659
"53","pumasmx","14",15,11188,0.00134072220235967,-6.61454685321964
"54","uribe","14",15,11188,0.00134072220235967,-6.61454685321964
"55","asi","13",14,11188,0.00125134072220236,-6.68353972470659
"56","juega","13",14,11188,0.00125134072220236,-6.68353972470659
"57","siempre","14",15,11188,0.00134072220235967,-6.61454685321964
"58","azteca","208",209,11188,0.0186807293528781,-3.98026280235704
"59","dias","11",12,11188,0.00107257776188774,-6.83769040453385
"60","estadio","208",209,11188,0.0186807293528781,-3.98026280235704
"61","este","11",12,11188,0.00107257776188774,-6.83769040453385
"62","si","11",12,11188,0.00107257776188774,-6.83769040453385
"63","azulcremas","10",11,11188,0.000983196281730425,-6.92470178152348
"64","dominguez","14",15,11188,0.00134072220235967,-6.61454685321964
"65","edsonalvarez","12",13,11188,0.00116195924204505,-6.75764769686031
"66","grande","12",13,11188,0.00116195924204505,-6.75764769686031
"67","manana","11",12,11188,0.00107257776188774,-6.83769040453385
"68","me","12",13,11188,0.00116195924204505,-6.75764769686031
"69","miguelherreradt","10",11,11188,0.000983196281730425,-6.92470178152348
"70","nuestras","10",11,11188,0.000983196281730425,-6.92470178152348
"71","debut","9",10,11188,0.000893814801573114,-7.0200119613278
"72","ligamxfemenil","9",10,11188,0.000893814801573114,-7.0200119613278
"73","mejor","9",10,11188,0.000893814801573114,-7.0200119613278
"74","nidoguila","9",10,11188,0.000893814801573114,-7.0200119613278
