"","WORD","FREQ","FREQ_1","total_word","prob","ln_prob"
"1252","jonrones","1",2,19190,0.000104220948410631,-9.1689974084418
"1253","josenene","1",2,19190,0.000104220948410631,-9.1689974084418
"1254","jubilan","1",2,19190,0.000104220948410631,-9.1689974084418
"1255","jueg","1",2,19190,0.000104220948410631,-9.1689974084418
"1256","juegos","1",2,19190,0.000104220948410631,-9.1689974084418
"1257","jueves","1",2,19190,0.000104220948410631,-9.1689974084418
"1258","jugada","1",2,19190,0.000104220948410631,-9.1689974084418
"1259","jugadas","1",2,19190,0.000104220948410631,-9.1689974084418
"1260","jugadores","2",3,19190,0.000156331422615946,-8.76353230033364
"1261","jugando","1",2,19190,0.000104220948410631,-9.1689974084418
"1262","jugar","1",2,19190,0.000104220948410631,-9.1689974084418
"1263","jugara","1",2,19190,0.000104220948410631,-9.1689974084418
"1264","jugaran","1",2,19190,0.000104220948410631,-9.1689974084418
"1265","juicio","1",2,19190,0.000104220948410631,-9.1689974084418
"1266","juntos","1",2,19190,0.000104220948410631,-9.1689974084418
"1267","juntossomosmas","1",2,19190,0.000104220948410631,-9.1689974084418
"1268","jurado","1",2,19190,0.000104220948410631,-9.1689974084418
"1269","just","1",2,19190,0.000104220948410631,-9.1689974084418
"1270","justin","1",2,19190,0.000104220948410631,-9.1689974084418
"1271","justinbieber","1",2,19190,0.000104220948410631,-9.1689974084418
"1272","k","1",2,19190,0.000104220948410631,-9.1689974084418
"1273","katemiddleton","1",2,19190,0.000104220948410631,-9.1689974084418
"1274","katy","1",2,19190,0.000104220948410631,-9.1689974084418
"1275","kelly","1",2,19190,0.000104220948410631,-9.1689974084418
"1276","kengiles","1",2,19190,0.000104220948410631,-9.1689974084418
"1277","keylor","1",2,19190,0.000104220948410631,-9.1689974084418
"1278","kg","1",2,19190,0.000104220948410631,-9.1689974084418
"1279","kschwarb","1",2,19190,0.000104220948410631,-9.1689974084418
"1280","labrador","1",2,19190,0.000104220948410631,-9.1689974084418
"1281","ladron","1",2,19190,0.000104220948410631,-9.1689974084418
"1282","lanotaprincipal","1",2,19190,0.000104220948410631,-9.1689974084418
"1283","laspalmas","1",2,19190,0.000104220948410631,-9.1689974084418
"1284","lateral","1",2,19190,0.000104220948410631,-9.1689974084418
"1285","latinoamericaensintonia","1",2,19190,0.000104220948410631,-9.1689974084418
"1286","lato","1",2,19190,0.000104220948410631,-9.1689974084418
"1287","lazaro","1",2,19190,0.000104220948410631,-9.1689974084418
"1288","leccion","1",2,19190,0.000104220948410631,-9.1689974084418
"1289","lechear","1",2,19190,0.000104220948410631,-9.1689974084418
"1290","lectura","1",2,19190,0.000104220948410631,-9.1689974084418
"1291","lee","2",3,19190,0.000156331422615946,-8.76353230033364
"1292","leer","1",2,19190,0.000104220948410631,-9.1689974084418
"1293","legs","1",2,19190,0.000104220948410631,-9.1689974084418
"1294","lejos","1",2,19190,0.000104220948410631,-9.1689974084418
"1295","leo","1",2,19190,0.000104220948410631,-9.1689974084418
"1296","leojuentes","1",2,19190,0.000104220948410631,-9.1689974084418
"1297","leon","1",2,19190,0.000104220948410631,-9.1689974084418
"1298","letra","1",2,19190,0.000104220948410631,-9.1689974084418
"1299","levantara","1",2,19190,0.000104220948410631,-9.1689974084418
"1300","ley","1",2,19190,0.000104220948410631,-9.1689974084418
"1301","lic","1",2,19190,0.000104220948410631,-9.1689974084418
"1302","ligamx","1",2,19190,0.000104220948410631,-9.1689974084418
"1303","lillo","1",2,19190,0.000104220948410631,-9.1689974084418
"1304","limpio","1",2,19190,0.000104220948410631,-9.1689974084418
"1305","link","1",2,19190,0.000104220948410631,-9.1689974084418
"1306","literalmente","1",2,19190,0.000104220948410631,-9.1689974084418
"1307","live","1",2,19190,0.000104220948410631,-9.1689974084418
"1308","llama","1",2,19190,0.000104220948410631,-9.1689974084418
"1309","llegamos","1",2,19190,0.000104220948410631,-9.1689974084418
"1310","llegan","1",2,19190,0.000104220948410631,-9.1689974084418
"1311","llegar","1",2,19190,0.000104220948410631,-9.1689974084418
"1312","llena","1",2,19190,0.000104220948410631,-9.1689974084418
"1313","llevar","1",2,19190,0.000104220948410631,-9.1689974084418
"1314","llevo","2",3,19190,0.000156331422615946,-8.76353230033364
"1315","llorar","1",2,19190,0.000104220948410631,-9.1689974084418
"1316","lluvias","1",2,19190,0.000104220948410631,-9.1689974084418
"1317","lobosoficial","1",2,19190,0.000104220948410631,-9.1689974084418
"1318","locura","1",2,19190,0.000104220948410631,-9.1689974084418
"1319","logro","1",2,19190,0.000104220948410631,-9.1689974084418
"1320","lokos","1",2,19190,0.000104220948410631,-9.1689974084418
"1321","lomita","1",2,19190,0.000104220948410631,-9.1689974084418
"1322","londres","1",2,19190,0.000104220948410631,-9.1689974084418
"1323","losastros","1",2,19190,0.000104220948410631,-9.1689974084418
"1324","losazulejos","1",2,19190,0.000104220948410631,-9.1689974084418
"1325","losdbacks","1",2,19190,0.000104220948410631,-9.1689974084418
"1326","losdodgers","1",2,19190,0.000104220948410631,-9.1689974084418
"1327","losreales","1",2,19190,0.000104220948410631,-9.1689974084418
